iter	Passed	Remaining
925	1788	142
926	1791	141
927	1793	139
928	1794	137
929	1796	135
930	1798	133
931	1800	131
932	1802	129
933	1804	127
934	1806	125
935	1817	124
936	1819	122
937	1820	120
938	1822	118
939	1825	116
940	1827	114
941	1829	112
942	1830	110
943	1833	108
944	1835	106
945	1837	104
946	1838	102
947	1841	100
948	1842	99
949	1844	97
950	1846	95
951	1848	93
952	1850	91
953	1852	89
954	1854	87
955	1856	85
956	1858	83
957	1860	81
958	1862	79
959	1864	77
960	1866	75
961	1868	73
962	1870	71
963	1872	69
964	1874	67
965	1876	66
966	1878	64
967	1881	62
968	1883	60
969	1885	58
970	1888	56
971	1890	54
972	1892	52
973	1894	50
974	1897	48
975	1899	46
976	1901	44
977	1903	42
978	1906	40
979	1908	38
980	1910	37
981	1912	35
982	1914	33
983	1917	31
984	1919	29
985	1921	27
986	1923	25
987	1925	23
988	1928	21
989	1931	19
990	1933	17
991	1935	15
992	1937	13
993	1939	11
994	1942	9
995	1945	7
996	1948	5
997	1950	3
998	1953	1
999	1956	0
